No.,"상위분류(왼쪽 상위 메뉴명 혹은 E2B 메뉴(CI, RP 등)",하위분류(하위 메뉴명/기능 혹은 E2B Elements),PV Comments,Updated date of PV Comments,개발자 Comments,Updated date of 개발자 Comments,Updated?
10,,Case 생성>SD,"1. Import template: RP 시트와 같은 의견
2. Receiver 정보는 SD에 해당하지 않으므로 삭제, Submission 시 필요한 정보이므로 Submissoin 페이지에서 Receiver 정보 선택하도록 설정해야 함. ",2026-02-25,"2026-03-11 반영: SD 섹션은 sender 정보만 입력하도록 정리했고, case form의 receiver import/receiver address/routing 입력 블록을 제거함. SD 상단에 receiver routing은 Export / Submission 페이지에서 선택한다는 안내를 추가했으며, Submission 페이지에는 이미 sender/receiver template selector가 있어 해당 흐름으로 일원화됨.",2026-03-11,Done
11,,Case 생성>LR,C.4.r.2 항목 누락되었음. ,2026-02-25,"2026-03-09 반영 완료: LR 섹션에 C.4.r.2 Included Documents 업로드 입력을 추가했고, 기존 literature API payload(document_base64/media_type/representation)를 그대로 사용하도록 연결함. attachment-only literature entry도 저장되도록 생성 조건도 함께 보완함.",2026-03-09,Done
12,,Case 생성>AE ,"1. E.i.3.2는 false/true 선택 항목이 아님. True 선택하거나 Null Flavor에서 NI를 선택해야 함. 
2. Non-serious event인 경우 일괄 NI 선택할 수 있는 기능 추가, Business Rule 적용 여부 확인 필요함.",2026-02-25,"2026-03-11 반영: AE 섹션의 E.i.3.2a~f를 boolean checkbox에서 Yes / NI 선택 구조로 변경했고, 각 criterion은 true 또는 NI만 입력되도록 정리함. Non-serious 처리 버튼은 모든 seriousness criterion을 일괄 NI로 설정하도록 수정했으며, serious 여부는 여전히 선택된 true criterion 기준으로 자동 파생됨. 프론트엔드 save/load mapping과 백엔드 reactions 모델에도 criteria_*_null_flavor 컬럼/필드를 추가해 NI 상태를 persisted data로 저장하도록 확장했고, migration 27-reaction-seriousness-null-flavor.sql을 추가함.",2026-03-11,Done
13,,Case 생성>LB ,"F.r.3.1, F.r.3.3은 검증룰에 따라 정해진 목록을 선택하도록 설정해야 함. ",2026-02-25,"2026-03-11 반영: LB 섹션에서 F.r.3.1은 기존과 같이 4개 코드(Positive/Negative/Borderline/Inconclusive) 선택형을 유지하고, F.r.3.3은 하드코딩된 짧은 unit 목록 대신 backend ucum_units reference table을 읽는 /api/terminology/ucum-units endpoint 기반 autocomplete로 전환함. 따라서 test unit 선택은 이제 shared terminology data를 사용하며, endpoint 실패 시에만 기존 fallback shortlist를 사용함.",2026-03-11,Done
14,,Case 생성>DG,"1. G.k.1에 4번(drug not administered) 누락되었음. 
2. 전반적으로 항목 번호 순서대로 배치 요망 
3. G.k.2.2는 보고된 용어를 입력하는 항목인데, WHODrug에서 검색하도록 설정되어 있어 수정 필요
4. Duplication check 페이지에서 입력했던 PRD_DG_KEY 정보(Product ID로 항목명 변경)가 DG 페이지에서 확인되도록 설정 요망 
5. MFDS report type에서 '시판 후 이상사례 국외보고'를 선택한 경우에는 G.k.2.1.KR.1에서 WHO-Drug 입력 필요하며 WHO-DD 버전 및 검색 기능 필요
6. G.k.2.4 항목을 포함하여 다수 항목이 항목 번호와 항목명이 일치하지 않음. 전체적으로 ICH/FDA/MFDS 요건에 맞게 항목명/번호 기재되어 있는지 점검 필요함.
7. G.k.4.r.1b(dose), G.k.4.r.3(interval unit), G.k.4.r.6b 등은 UCUM code로 설정되어야 함. 전체적으로 UCUM code 대상 항목 리스트 확인 요망
8. 현재 Related Reaction (G.k.9.i.0)로 되어 있는 항목명은 Reaction(s) / Event(s) Assessed (G.k.9.i.1)로 수정되어야 하며, Reaction / Event (E.i.2.1b)에 저장된 AE term 중에서 선택 가능하도록 해야 함. 또한, 선택된 AE term 별로 탭(시트)을 추가하여 source 별로 입력할 수 있도록 설정 필요
9. G.k.4.r - Structured Dosage Information에서 여러 투여량이 있는 경우, 탭(시트)을 추가하여 각 탭별로 입력하는 방법으로 수정",2026-02-25,"2026-03-13 부분 반영: G.k.1의 Drug Characterization 값셋을 frontend type/schema/UI fallback에서 4 = Drug Not Administered까지 허용하도록 수정함. 또한 G.k.2.2를 WHODrug 검색형이 아닌 reported-term 자유입력으로 변경했고, duplication check에서 저장된 dg_prd_key를 case detail에 연결해 DG 섹션에서 Product ID로 확인 가능하게 표시함. G.k.2.5 Investigational Product Blinded도 기존 backend/XML 지원을 활용해 DG UI와 save payload에 연결함. drug-reaction assessment에서는 기존 Related Reaction (G.k.9.i.0) 표기를 Reaction(s) / Event(s) Assessed (G.k.9.i.1)로 수정하여 Section E의 reaction 선택 UI와 일치시키고 source field 번호도 G.k.9.i.2.r.1로 바로잡음. 추가로 DG 섹션에서 잘못 부여되어 있던 일부 E2B 번호를 정리해 obtain country/auth number/auth holder는 spec 번호에 맞게 수정하고, brand/generic/cumulative dose/gestation helper 필드는 잘못된 번호 표시를 제거했음. G.k.4.r.1b, G.k.4.r.3, G.k.4.r.6b는 UCUM-oriented 제어 선택형으로 유지하면서, 여러 dosage row는 tabbed regimen UI로 전환해 한 화면에서 regimen별 전환 입력이 가능하게 수정함. 또한 MFDS report type이 시판 후 이상사례 국외보고로 표시된 경우 G.k.2.1.KR.1b는 기존 자유입력 대신 WHO-Drug 검색 선택형으로 동작하고, 선택된 dictionary version을 G.k.2.1.KR.1a에 자동 반영하도록 연결했으며, MFDS domestic drug case에서는 active substance code(G.k.2.3.r.1.KR.1b)도 WHO-Drug 검색 선택형으로 보완해 version(G.k.2.3.r.1.KR.1a)과 substance name을 함께 채우도록 정리함. 이번 pass에서는 G.k.2.3.r Active Substance block도 G.k.2 영역으로 이동시켜 DG 상단 order를 번호 흐름에 더 가깝게 재배치함. 다만 DG 전반의 항목 순서 전면 재배치와 전체 UCUM 카탈로그 연동은 아직 미구현 상태임.",2026-03-13,Partial
15,,"Case 생성>Review, WF","1. RE 페이지가 Review 기능을 의도한 것인지 확인 필요함. cubeSAFETY에는 보고별 Timeline을 관리, 제출 결과(배치번호, 보고날짜등) 확인하는 페이지로 구성되어 있음. 해당 기능을 구현해 주기 바람. 
2. WF 기능에 대해서 구현 예정인지 확인 필요.",2026-02-25,,,
16,CASE,Case XML Export,"1. 1개의 사례 Export 되는것은 확인하였으며, DB 검증 후 맞게 출력되는 것일지 재확인 필요
2. 여러 사례 동시 출력 가능하도록 수정 필요",2026-02-25,,,
17,INFO,General/Common,"1. 상단의 회색 문구 수정 요망 (Manage reusable templates for sender, receiver, product, reporter, study, and narrative data. Import templates directly into case forms. -> Manage information for sender, receiver, product, reporter, study, and narrative template.) 
2. Add template와 Create your first template 기능에 무슨 차이가 있는지? 차이가 없다면 create~ 는 삭제
3. 필수항목 표시는 Case 생성 탭과 일관되게 반영 (항목평 좌측에 빨간색 * 표시) 
4. 제목의 Pre-saved templates 표현도 삭제 또는 맥락에 맞게 수정
5. Notation란은 해당 항목의 하위 항목임을 명확히 인지할 수 있도록 배치 조정 
6. 전체적으로 Template name, Description 삭제 
7. 등록된 정보는 numbering하여 행 형식(Line-listing 형식)으로 보여지도록 설정 
8. Table Header 설정하여 화면에서 보이도록 설정 및 항목별 필터 설정 가능하게 수정 필요
9. Delete 체크 박스를 버튼 형식으로 수정",2026-02-25,"2026-03-09 반영: INFO 메인 제목에서 Pre-saved Templates 표현 제거, 설명 문구를 요청안에 맞게 수정, Add Template/Create your first template 버튼을 현재 탭 기준 Add Sender/Add Receiver 등으로 변경. 필수표시 위치, line-listing/table header/filter, notation 배치, template name/description 제거 등은 아직 미구현.",2026-03-09,Partial
18,INFO,Sender,"Add Template -> Add Sender로 수정(해당 페이지 내 모든 항목), 등록된 Sender 정보가 organization(client) 정보와 연동되어야 함. 즉, user 접근 권한 부여, case processing, submission 등 전체적인 업무가 Sender 별로 진행되어야 함. (상위 분류 General 항목의 2번 참조)",2026-02-25,,,
19,INFO,Study,"1. Product는 등록된 정보에서 가져오도록 설정
2. MFDS, FDA regional element 반영
- MFDS: study number -> study  no, protocol no 선택 하도록, Other Studies Type (C.5.4.KR.1) 추가 
- FDA: IND Number where AE Occurred (FDA.C.5.5a), Pre-ANDA Number where AE Occurred (FDA.C.5.5b), FDA.C.5.6.r - IND number of cross reported IND 등 추가 
3. EDC sync 기능이 가용하지 않으므로 삭제",2026-02-25,,,
20,INFO,Narrative,"Narrative template 활용 가능하도록 개발된 것이 맞는지? 참고로, cubeSAFETY에서는 다음과 같이 Element ID를 이용하여 Narrative template를 입력하도록 되어 있음.",2026-02-25,,,
21,DATA,General/Common,"1. This section will include MedDRA terminology search, WHODrug lookups, country code lists, and E2B(R3) code list management. 
-> 일반 User에게는 불필요한 기능임. System Admin만 확인할 수 있도록 접근권한 설정할 것
2. Admin 권한도 System 관리자로서의 Admin 과 User의 Admin 역할 구분이 필요하며 User의 Admin 권한은 메뉴의 ADMIN 페이지에서 관리할 수 있도록 수정 필요",2026-02-25,,,
22,IMPORT,"XML Import 기능
","1. Import E2BR3 XML files -> E2B(R3)로 수정
2. Supports E2BR3 (ICH) XML format -> ICH E2B(R3)로 수정
3. ICH 기준이 아닌 MFDS, FDA 항목이 포함된 XML도 import 가능해야 하며, regional elements가 적절히 저장되어야 하므로, Import 시점에 XML format을 선택하는 기능 필요함.
4. Import history 확인할 수 있도록 탭 추가 (no, case no, file name, status, error(에러 시 사유 확인), import date/time, user 등)
5. XML의 경우 파일 첨부, batch report 가능하므로 최대 용량을 10MB로 설정할 경우 import 불가한 상황이 발생할 수 있으므로, 최대 용량 상향 조정 요망 
6. zip 파일로도 import 가능해야 함.",2026-02-25,"2026-03-10 반영 완료: Import 화면 문구를 E2B(R3) 기준으로 정리했고, import 시 validation profile 선택(ICH/FDA/MFDS/Auto) UI를 추가함. backend import route는 multipart format override를 받아 저장 profile에 반영하도록 확장했고, .zip 업로드에서 내부 .xml 파일들을 순차 import하여 결과를 파일별로 반환하도록 구현함. XML validator 기본 업로드 제한도 10MB로 상향해 화면 안내와 실제 동작을 일치시켰다. 또한 xml_import_history 저장 테이블/정책과 /api/import/xml/history endpoint를 추가하고, Import 화면에 history 탭(no/case no/file/status/error/import date-time/user)을 연결했다. 운영 환경에서는 신규 SQL(18-xml-import-history.sql) 적용이 필요함.",2026-03-10,Done
