No.,"상위분류(왼쪽 상위 메뉴명 혹은 E2B 메뉴(CI, RP 등)",하위분류(하위 메뉴명/기능 혹은 E2B Elements),PV Comments,Updated date of PV Comments,개발자 Comments,Updated date of 개발자 Comments,Updated?
6,CASE,Case 생성>General,"1. 달력: 
- 시스템 전체가 영어를 기반으로 개발되어 있으므로 달력 또한 같은 언어를 기반으로 설정되어야 함 (Duplication check 페이지에는 한글로 표시됨)
- UK을 허용하는 요소에 UK 기능이 설정되지 않았음 (예, AE Start date), E2B(R3) business rule 적용 요망
2. Validation profile (ICH/FDA/MFDS): duplication check에서 필요한 항목 아니므로 삭제 (해당 항목 설정에 관한 의견은 Home/Dashboard에 대한 검토 의견에서 확인 요망) 
3. 전체적으로 Null flavor 선택 기능이 누락되었음. 
4. 필수 항목(또는 optional mandatory elements) 누락 시 warning message 표시되도록 개발 요망
5. 각 페이지 상단에 뜨는 메시지(예, Validation rules: cached copy)가 user에게 필요한 것인지? 그렇지 않다면 숨김 처리
6. 상단 메시지(Red dot means this section has validation issues (blocking or non-blocking). Submission requires zero blocking issues and Validated status.)
- validation error 있어도 red dot 표시되지 않아 Validation 작동 여부 확인 필요
- blocking, non-blocking이 어떤 의미인지? User가 이해할 수 있는 용어로 표현 
7. 입력 창 우측의 ... 표시 동작하지 않음. 기능 구현 필요
8. Notation 기능 필요함 (2개의 언어로 입력해야 하는 경우)
9. 반복 입력 가능한 항목(r, i, k)은 행 형식(cubeSAFETY와 같이 표 형식)으로 제시되도록 변경 요청. (행에는 기본 정보만 제시하고 상세 정보는 행 클릭 시 확인, 수정할 수 있도록) 그렇지 않으면 페이지가 길어져서 각 항목별 입력 정보를 종합적으로 파악하기 어려움 
10. 페이지 우상단의 프린터, 사진, lock, ... 버튼 동작하지 않음. 아이콘 이름 및 기능 재정비 요망, 버튼 클릭 시 즉시 동작하지 않고 재확인하는 팝업창을 뜨도록 설정 요망  
- 프린터: CIOMS, XML 추출 기능 구현되어야 함. (XML 추출 시 Appendix 설정 기능 필요)
- 카메라: screenshot 기능 불필요함. 해당 case의 status(saved, reviewed, locked, deleted 등) 
- 체크 박스: Validate case -> QC로 수정 
- Follow-up 생성, Submission 기능 필요 (cubeSAFETY의 경우 ... 표시에서 선택 가능) 
12. MedDRA 버전은 목록에서 선택되도록 설정해야 함. 현재 검색 기능 사용 불가 (이하 MedDRA 항목 전체)
13. 항목 작성란 옆의 ""..."" 에서 Audit Trail, Notation(해당하는 항목에서), 삭제 기능 추가 필요
14. Save 누르지 않은 채 다른 페이지로 이동하는 경우 저장/취소 선택할 수 있도록 경고창 필요 
15. 국가 정보 입력하는 부분은 전체 동일하게 적용(ISO 3166-1 alpha-2, EU에서 목록을 선택)
16. D.7.1.r.1b 항목 을 포함하여 MedDRA 용어 활용시 MedDRA LLT Term으로 검색하고, 출력은 MedDRA LLT Term과 MedDRA code no가 함께 출력되도록 수정 필요",2026-02-25,"완료: case form 전반의 date/calendar UX, unsaved-change warning, MedDRA 표시, ... field action, null flavor 저장/복원, 여러 section의 날짜/필드 보완을 마감했습니다.
미완료: 없음.

",,
6,CASE,Case 생성>General,"PV Comments about 2026-02-25
[저장은 페이지 단위에서 저장 필요하나, 현재 import 한 사례에 대해서만 페이지단위 저장 버튼 활성화되며 정상 저장되지 않음. 또한 User에게 불필요한 Batch 부분의 오류메세지가 뜸([Date of Creation] [N.1.5] 등)
현재 Case 직접 입력 시 페이지 단위 저장 버튼 활성화 안되지 않음]

1. (1) 첫번째 의견은 반영 완료, (2) 두번째 Null flavor 부분 전반적으로 재확인 필요. 예를들어 (C.1.2), (C.1.4), (C.1.5) 등 날짜 필수값에 Null flavor가 있음. (추가로 입력 항목에 달력 아이콘 작동하지 않으며, 날짜 미래 날짜 입력 불가능하게 수정 필요). 또한 Business rule 적용 적절하게 되어있는지 확인 필요(지역 항목(KR 및 FDA 항목) 등이 섞여있거나(INFO 메뉴 Reporter 서식에서 Reporter's Email (C.2.r.2.8) 등), 존재하지 않는 경우 (SD에서 Health Professional Type (C.3.1.KR.1), SI에서 Other Studies Type (C.5.4.KR.1) 등)가 있음, 확인한 모든 항목은 기재한 것은 아니니 전반적으로 재확인 필요.
2. 본 항목 반영 필요
3. 1번의 2번째와 동일한 의견으로 항목 전반적으로 Null flavor 재확인 필요
4. 저장이 되지않아 작동 여부 확인 불가하며, 현재 확인되는 정보로 볼 때 전체 Warning message 재확인 필요하며 아래 내용 참조
(1) 세부 메뉴(CI, RP, SD 등) 항목별로 필수값 혹은 조건부 필수값이 있는 경우 세부 메뉴에 표시되어야 하나, 현재 표시가 되는 부분이 있고 안되는 부분이 있음.
(2) DG 같은 경우 해당 페이지 들어가면 오류 상태가 표기되나, 세부 메뉴(DG)에 표기되지 않음
5. 해당 메세지 보이지 않으나 아직 저장 불가
6. 메세지 수정되었으나, 4번 의견에 따른 Warning 메세지가 정상 작동하지 않음
7. `...` 기능 수정 필요. 아래 내용 참조.
(1) FU 기능이 Create Follow-up Draft으로 생성된 것으로 보이나, 클릭하면 처음 사례를 생성하는 것과 동일한 화면(Duplication Check 화면)으로 이동됨. 동일한 보고자 관리번호 기준으로 ""Sender's (case) Safety Report Unique Identifier(C.1.1)"" 으로 FU 보고서가 생성되어야 하며, 최초 생성 시 Date of Creation (C.1.2)는 생성 시점, Date of Most Recent Information for This Report (C.1.5)는 빈칸, 나머지는 모두 FU 보고서를 생성한 원 보고서의 값을 Default 값으로 가져야 함.
(2) Open Export / Submission 클릭 시 해당 메뉴로 이동만 수행됨. 해당 페이지에서 해당 보고서 보고를 위한 정보가 자동 입력되도록 수정 필요.
8. 앞서 의견에 따라 Notation 기능 아직 추가 안된점 확인. 반영 필요.
9. 반영되지 않음. ""표 형식"" 시트 참조.
10. 현재 각 아이콘 및 Function 항목만 구현되었고, 아직 Function 별 세부적인 기능은 아직 개발 안된 것인지 확인 필요. 아이콘 별 아래 문의 사항 확인 요청. (ICH drop down, ICH, FDA, MFDS 항목 제외)
(1) Unsaved/Saved: 어떤 기준 출력값인지 확인 필요. WF 개발한다면 WF 에 따른 상태 표시 필요함.
(2) 프린트 아이콘: 앞서 Appendix 의견 고려 필요하여 Appendix에 따른 XML 출력 필요하며 추가로 며 CIOMS 양식의 PDF 출력 필요
(3) `☑️`, `🔒`, `...` 부분은 정상 작동하지 않는데, 앞 부분의 항목 의견 반영 필요.
[11번은 이전 Comment에서 번호 누락]
12. MedDRA Version 및 term 현재 작동하지 않아 확인 불가
13. 항목별 작성란 옆의 `...` 에 대해 아래와 같이 수정 필요.
(1) Audit Trail: ① 해당 항목의 수정/생성 일자, User, 수정 항목명, 수정된 해당 항목의 값 및 Notation(해당 시), Null Flavor(해당 시), 수정 사유 항목 표시
② 누적하여 Table 형태로 표시, 최신 정보가 가장 위
③ 최초 등록한 정보는 해당 Trail에 생성 일자, 생성한 User, 항목명, 해당 항목의 값, 수정 사유는 ""Initial"" 기재하여 출력
(2) Notation은 필요한 항목에 대해서만 생성, 해당 항목에 대한 별도 논의가 필요한 경우 재논의 요청
(3) 삭제: 현재 해당 항목에 기재된 정보 삭제하는 기능 요청한 것이었으며, 수정 필요
14. 창이 뜨는 것은 확인하였으나, 저장이 되지 않아 작동하는지 확인 불가
15. 선택 창이 뜨는 것은 확인하였으나, 데이터가 확인되지 않음. 아직 국가 데이터가 포함되지 않은 것인지?
16. MedDRA code 칸이 아직 보이지 않으며, MedDRA Version 및 term 현재 작동하지 않아 확인 불가",2026-04-02,,,
7,CASE,Case 생성>Duplication check ,"1. Type of report 별로 입력 필요한 필수값이 달라지는 부분 반영 필요
2. 중복 case 판정 기준이 무엇인지 확인 필요
- 중복 확인을 위한 필수 항목이 입력되지 않으면 duplication check pass되지 않아야 함.
- C.1.1, C.1.3, C.1.5, DG_PRD_KEY 정보가 다르더라도 환자 정보 및 AE term/시작일이 동일하다면 duplication 의심사례로 검증되어야 함 
3. duplication check에서 vaildation profile은 중복 case 판정 기준 아님
4. DG_PRD_KEY 항목(Product ID로 항목명 수정 요망)은 case info에서 등록한 Pre-approval IP Name 또는 Brand Name 정보를 선택하도록 설정해야 함. 
5. Duplication Check 에서 중복 의심사례더라도 경고창과 함께 case 생성 가능하도록 설정 필요",2026-02-25,"완료: 중복 판정 기준을 case number 중심이 아니라 환자 signature + reaction/event + AE start date 중심으로 재구성했고, study report type에 필요한 필수 입력도 보완했습니다. 중복 경고 후 Create anyway도 가능하게 했습니다.
미완료: 없음.",,
7,CASE,Case 생성>Duplication check ,"PV Comments about 2026-02-25
1. 일부 필수값 달라지는 건 확인하였으나 모두 적용되지는 않음(예를들어 Patient Name or Initials (D.1)이 계속 필수값 인 상태로 유지됨), Type of Report (C.1.3) 값에 따라 이하 항목에서 항목별로 활성화/비활성화 필요. 값 별로 아래 내용 참고. (추가로 앞서 No, 6. 의견에 따른 Null flavor 부분 동일하게 반영 필요)
- 1: Spontaneous report: D.1, D.2.2a, D.5, Product ID, E.i.2.1a, E.i.2.1b, E.i.4
- 2: Report from study: C.2.r.2.1, C.5.3, D.1.1.4, Product ID, E.i.2.1a, E.i.2.1b, E.i.4
- 3: Other: D.1, D.2.2a, D.5, Product ID, E.i.2.1a, E.i.2.1b, E.i.4
- 4: Not available to sender (unknown): D.1, D.2.2a, D.5, Product ID, E.i.2.1a, E.i.2.1b, E.i.4
2. (1) 1번에 따라 활성화된 항목을 기준, 모두 입력되면 통과 하는 점 확인하였으나, 일부 항목 미입력 시에도 생성 가능하도록 Duplication Check 안되는 점 경고창으로 확인 하고 Case 생성 여부 확인하는 창으로 수정 필요 
(2) 중복 검사 항목 중 모두 갖진 않더라도, Product ID, E.i.2.1a, E.i.2.1b, E.i.4 값이 같은 경우 중복여부에 대한 재확인 및 생성 진행할지 확인하는 과정 필요.
3. 반영 확인
4. Product 정보 불러오는 것은 확인하였으나, 불러오는 정보가 Product ID 이어야 함
5. 반영되지 않음. 중복 사례 생성되지 않음",2026-04-02,,,
8,CASE,Case 생성>CI ,"1. 각 항목명 우측의 물음표 원문자의 기능은?
2. f/u case 선택 드롭다운 박스 (좌측 상단): 현재 연-월-일만 표시됩니다만, 같은 날짜에 생성된 케이스가 여러 개 있을 수 있으므로 C.1.2 기재사항 전체(시/분/초) 표시되도록 설정 요망
3. MFDS Report Type 항목 추가 필요, Non E2B(R3) element로서 Report year 항목 추가
4. C.1.6.1.r.2: 첨부 기능 구현되지 않은 듯
5. Non E2B(R3) element로서 Source document 업로드 항목 추가 필요",2026-02-25,"완료: linked/follow-up case 선택, MFDS Report Type, Report Year, Source Document upload를 추가했고 tooltip/help 동작도 유지했습니다.
미완료: 없음.

",,
8,CASE,Case 생성>CI ,"PV Comments about 2026-02-25
1. 반영 확인
2. 반영되지 않음
3. (1) MFDS Report Type은 선택 항목으로 수정 (1. 임상시험계획의 승인을 받은 자, 2. 임상시험용의약품의 치료목적 사용승인을 받은 자, 3. 시판 후 이상사례 국내보고, 4. 시판 후 이상사례 국외보고, 5. 임상시험계획의 승인을 받은 자 (국외), 6. 의료기기 이상사례 보고)
(2) Report year 현재 4자리 인데, 길게 수정 필요. Non-E2B 마크는 삭제(모두 동일하게 적용)
4. 반영 확인
5. Source document 업로드 항목은 확인하였으나, 파일의 정보 확인할 수 있는 칸이 없음, 다음과 같이 수정
(1) 반복 생성가능하도록 수정
(2) Source Document 업로드 칸과 파일 첨부칸을 구분",2026-04-02,,,
9,CASE,Case 생성>RP,"1. Import template: 저장된 정보를 가져 오는 기능임을 직관적으로 알 수 있도록 표현 수정 (예, Import Reporter)
2. Primary Source for Regulatory Purposes(C.2.r.5) 허용되는 값과 상이함. 본 항목을 포함하여 ICH 항목 혹은 Regional 항목들 부합하는지 확인 필요",2026-02-25,"완료: Import Reporter Template 문구 정리와 함께 C.2.r.5를 Yes/No 값셋으로 정비했고, reporter template/case form/backend/XML import를 함께 맞췄습니다.
미완료: 없음.",,
9,CASE,Case 생성>RP,"PV Comments about 2026-02-25
1. 확인 완료
2. C.2.r.5 T/F 확인 완료하였으나, Other Health professional Type (C.2.r.4.KR.1) 항목 확인되지 않음. 
[참고: INFO의 Reporter 에서 Reporter's Email (C.2.r.2.8) 는 FDA 항목. ICH 및 지역 기준 반영 여부 재확인 필요]",2026-04-02,,,
10,CASE,Case 생성>SD,"1. Import template: RP 시트와 같은 의견
2. Receiver 정보는 SD에 해당하지 않으므로 삭제, Submission 시 필요한 정보이므로 Submissoin 페이지에서 Receiver 정보 선택하도록 설정해야 함. ",2026-02-25,"완료: SD는 sender-only로 정리했고, receiver 입력은 제거했습니다. receiver routing은 Export / Submission에서 처리하도록 분리했습니다.
미완료: 없음.

",,
10,CASE,Case 생성>SD,"PV Comments about 2026-02-25
1. 확인 완료
2. 미반영. Message Header 및 Receiver Information 아직 본 페이지에 존재함.
[참고: No 9 항목의견과 동일하게 ICH 및 지역 기준 반영 여부 재확인 필요. Health Professional Type (C.3.1.KR.1) 항목 확인되지 않음.]",2026-04-02,,,
11,CASE,Case 생성>LR,C.4.r.2 항목 누락되었음. ,2026-02-25,"완료: C.4.r.2 Included Documents 업로드를 추가했고, attachment-only literature 저장도 되도록 보완했습니다.
미완료: 없음.",,
11,CASE,Case 생성>LR,"PV Comments about 2026-02-25
반영확인
[참고: No 6 의견 참조하여 C.4.r.1의 Null flavor 항목 재확인]",2026-04-02,,,
12,CASE,Case 생성>AE ,"1. E.i.3.2는 false/true 선택 항목이 아님. True 선택하거나 Null Flavor에서 NI를 선택해야 함. 
2. Non-serious event인 경우 일괄 NI 선택할 수 있는 기능 추가, Business Rule 적용 여부 확인 필요함.",2026-02-25,"완료: seriousness criteria를 Yes/NI 구조로 바꾸고, Non-serious 처리와 seriousness derive 로직을 정리했습니다.
미완료: 없음.",,
12,CASE,Case 생성>AE ,"PV Comments about 2026-02-25
1. NI는 다른 Null Flavor와 동일한 방식 적용 필요
2. 일괄 선택 확인하였으며, Business rule은 재확인 필요
[참고: No 6 의견 참조하여 항목 전반적으로 재확인. Term Highlighted by the Reporter(E.i.3.1) 이 Business rule과 다름, Date of Start of Reaction / Event(E.i.4) 항목 Null Flavor 값이 다름]",2026-04-02,,,
13,CASE,Case 생성>LB ,"F.r.3.1, F.r.3.3은 검증룰에 따라 정해진 목록을 선택하도록 설정해야 함. ",2026-02-25,"완료: F.r.3.1은 코드 선택형으로 유지했고, F.r.3.3은 backend ucum_units 기반으로 사용하도록 바꿨습니다.
미완료: 없음.
",,
13,CASE,Case 생성>LB ,"PV Comments about 2026-02-25
F.r.3.3 ucum 기반 자료 값 모두 포함한 것 맞는지 확인 필요.",2026-04-02,,,
14,CASE,Case 생성>DG,"1. G.k.1에 4번(drug not administered) 누락되었음. 
2. 전반적으로 항목 번호 순서대로 배치 요망 
3. G.k.2.2는 보고된 용어를 입력하는 항목인데, WHODrug에서 검색하도록 설정되어 있어 수정 필요
4. Duplication check 페이지에서 입력했던 PRD_DG_KEY 정보(Product ID로 항목명 변경)가 DG 페이지에서 확인되도록 설정 요망 
5. MFDS report type에서 '시판 후 이상사례 국외보고'를 선택한 경우에는 G.k.2.1.KR.1에서 WHO-Drug 입력 필요하며 WHO-DD 버전 및 검색 기능 필요
6. G.k.2.4 항목을 포함하여 다수 항목이 항목 번호와 항목명이 일치하지 않음. 전체적으로 ICH/FDA/MFDS 요건에 맞게 항목명/번호 기재되어 있는지 점검 필요함.
7. G.k.4.r.1b(dose), G.k.4.r.3(interval unit), G.k.4.r.6b 등은 UCUM code로 설정되어야 함. 전체적으로 UCUM code 대상 항목 리스트 확인 요망
8. 현재 Related Reaction (G.k.9.i.0)로 되어 있는 항목명은 Reaction(s) / Event(s) Assessed (G.k.9.i.1)로 수정되어야 하며, Reaction / Event (E.i.2.1b)에 저장된 AE term 중에서 선택 가능하도록 해야 함. 또한, 선택된 AE term 별로 탭(시트)을 추가하여 source 별로 입력할 수 있도록 설정 필요
9. G.k.4.r - Structured Dosage Information에서 여러 투여량이 있는 경우, 탭(시트)을 추가하여 각 탭별로 입력하는 방법으로 수정",2026-02-25,"완료: Drug Not Administered, G.k.2.2 자유입력, Product ID 노출, MFDS WHO-Drug 흐름, DG 번호/순서 정리, dosage tabs, unit control, G.k.4.r 위치 조정 등 핵심 문제를 반영했습니다.
미완료: 없",,
14,CASE,Case 생성>DG,"PV Comments about 2026-02-25
1. 반영 확인
2. (G.k.2.2) 항목 등 순서 안맞는곳 재확인 필요.
3. 반영 확인
4. 미반영. Product ID 수정된 것은 확인하였으나 기능 작동하지 않음
5. No 8 의견 확인 및 선택된 항목의 Business Rule에 따라 입력필요 항목 구분 적용 필요.
(예 MFDS report type에서 '시판 후 이상사례 국외보고'를 선택한 경우에는 Medicinal Product ID (G.k.2.1.KR.1b) 혹은 Substance ID (G.k.2.3.r.1.KR.1b) 필수). WHO-DD 버전 및 검색 기능 적용되지 않음.
[참고: Business Rule에 따른 Strength (unit)(G.k.2.3.r.3b) 의 모든 항목 포함되었는지 재확인]
6. G.k.3.4 항목 존재하는 것이 맞는지 확인 필요. 항목명 및 번호 일부 수정된 것 확인하였으나 G.k.7, G.k.8, Supplemental Drug Details 구분 항목 등 맞지 않으며 Business rule에 따른 항목 전반적으로 재확인 필요
7. UCUM 모든 정보 반영된 것 맞는지 재확인 필요
8. 항목명 수정 및 선택하는 것은 확인하였으나, 반복가능 항목(Source of Assessment (G.k.9.i.2.r.1), Method of Assessment (G.k.9.i.2.r.2) Result of Assessment (G.k.9.i.2.r.3), KR Method of Assessment (G.k.9.i.2.r.2.KR.1), WHO-UMC Result of Assessment (G.k.9.i.2.r.3.KR.1), KRCT Result of Assessment (G.k.9.i.2.r.3.KR.2)) 해당 항목 내에서 반복하도록 수정, 현재는 항목(G.k.9.i - Drug-Reaction/Event Assessment) 전체가 반복됨.
9. 반영 확인",2026-04-02,,,
15,CASE,"Case 생성>Review, WF","1. RE 페이지가 Review 기능을 의도한 것인지 확인 필요함. cubeSAFETY에는 보고별 Timeline을 관리, 제출 결과(배치번호, 보고날짜등) 확인하는 페이지로 구성되어 있음. 해당 기능을 구현해 주기 바람. 
2. WF 기능에 대해서 구현 예정인지 확인 필요.",2026-02-25,"완료: RE를 receiver별 Report Due / Reported Date와 Distribution History 화면으로 교체했고, WF를 Current Status / Next Status / Role / User / Comments / route history 구조로 교체했습니다.
미완료: backend workflow engine 수준의 강한 상태 전이 enforcement는 아직 없습니다. 현재는 화면과 저장 구조 중심입니다.",,
